driverId,raceId,totaltime,avglaptime,lapnum,lapnummax,position,q1,q2,q3,prop,constructorId,year,budget,circuitId,Weather,qfastest,totallap,fastestLapSpeed
1,975,5585.154,79.78791428571428,70,70,1,01:12.7,01:12.5,01:11.5,1,131,2017,352.1,7,0,71.5,23.061,210.588
1,976,7441.761,145.91688235294117,51,51,1,01:42.0,01:41.3,01:40.6,1,131,2017,352.1,73,0,100.6,1373.445,208.862
1,977,4915.953,69.23877464788733,71,71,3,01:05.1,01:04.8,01:04.4,0.894736842,131,2017,352.1,70,0,64.4,20.761,230.597
1,978,4887.43,95.83196078431372,51,51,1,01:39.1,01:27.9,01:26.6,1,131,2017,352.1,9,0,86.6,27.733,234.025
1,979,5999.598,85.70854285714286,70,70,4,01:17.5,01:16.7,01:16.7,0.842105263,131,2017,352.1,11,0,76.7,21.338,195.149
1,980,5082.82,115.51863636363636,44,44,1,01:44.2,01:42.9,01:42.6,1,131,2017,352.1,13,0,102.6,44.394,236.526
1,981,4532.312,85.51532075471698,53,53,1,01:36.0,01:34.7,01:35.6,1,131,2017,352.1,14,0,94.7,23.725,249.793
1,982,7403.544,127.64731034482759,58,58,5,01:42.5,01:40.6,01:40.1,0.789473684,131,2017,352.1,15,1,100.1,107.613,173.643
1,983,5414.06,96.67964285714285,56,56,1,01:31.6,01:31.0,01:30.1,1,131,2017,352.1,2,0,90.1,23.489,211.269
1,984,5251.194,99.0791320754717,53,53,1,01:29.0,01:27.8,01:27.3,1,131,2017,352.1,22,0,87.3,22.724,222.917
1,985,5630.991,100.55341071428572,56,56,1,01:34.8,01:33.4,01:33.1,1,131,2017,352.1,69,0,93.1,23.402,200.927
1,988,5657.961,102.87201818181818,55,55,2,01:37.4,01:36.7,01:36.4,0.947368421,131,2017,352.1,24,0,96.4,21.274,197.041
1,989,5378.319,92.72963793103449,58,58,1,01:22.8,01:22.1,01:21.2,1,131,2018,400,1,0,81.2,21.821,220.845
1,990,5528.452,96.99038596491228,57,57,4,01:29.4,01:28.5,01:28.2,0.842105263,131,2018,400,3,0,88.2,24.302,207.371
1,991,5753.365,102.73866071428571,56,56,4,01:33.3,01:31.9,01:31.7,0.842105263,131,2018,400,17,0,91.7,22.464,202.559
1,992,6224.291,122.04492156862746,51,51,2,01:42.7,01:42.7,01:41.7,0.947368421,131,2018,400,73,0,101.7,41.706,205.012
1,993,5729.972,86.81775757575758,66,66,1,01:17.6,01:17.2,01:16.2,1,131,2018,400,4,0,76.2,22.085,211.77
1,994,6191.82,79.38230769230769,78,78,3,01:12.5,01:11.6,01:11.2,0.894736842,131,2018,400,6,0,71.2,23.739,157.508
1,995,5332.936,78.4255294117647,68,68,4,01:11.8,01:11.7,01:11.0,0.842105263,131,2018,400,7,0,71,23.335,211.633
1,996,5411.385,102.10160377358491,53,53,1,01:31.3,01:30.6,01:30.0,1,131,2018,400,34,0,90,24.31,222.531
