raceId,driverId,fastestLapSpeed
1056,4,160.12
1056,847,159.033
1056,849,158.961
1056,852,162.259
1056,853,156.287
1056,854,157.189
1056,822,158.682
1056,844,
1055,1,208.64
1055,830,215.357
1055,822,211.884
1055,844,209.174
1055,815,211.743
1055,817,205.612
1055,832,206.33
1055,846,207.064
1055,839,202.014
1055,842,206.82
1055,840,203.735
1055,8,203.094
1055,20,203.211
1055,847,202.264
1055,841,203.255
1055,849,203.003
1055,4,207.311
1055,854,203.661
1055,853,200.261
1055,852,198.408
1054,1,206.971
1054,830,207.581
1054,822,209.738
1054,815,207.715
1054,846,205.038
1054,844,205.541
1054,839,204.562
1054,4,206.718
1054,817,204.31
1054,842,204.243
1054,832,203.471
1054,841,203.862
1054,20,203.246
1054,840,204.352
1054,852,204.133
1054,847,202.661
1054,854,202.414
1054,849,201.44
1054,853,200.27
1054,8,
1053,830,227.96
1053,1,230.403
1053,846,225.819
1053,844,225.473
1053,832,225.154
1053,817,222.739
1053,842,223.718
1053,840,224.32
1053,839,222.512
1053,4,222.526
1053,815,222.585
1053,852,225.603
1053,8,225.548
1053,841,222.378
1053,20,223.491
1053,854,223.156
1053,853,219.8
1053,822,199.721
1053,847,204.203
1053,849,
1052,1,207.235
1052,830,208.984
1052,822,211.566
1052,846,206.398
1052,815,207.334
1052,844,205.112
1052,817,205.233
1052,832,206.151
1052,852,205.603
1052,840,205.378
1052,8,204.672
1052,841,204.823
1052,839,204.548
1052,847,205.008
1052,20,203.871
1052,854,202.667
1052,842,207.069
1052,849,201.685
1052,4,202.816
1052,853,
1051,1,227.633
1051,830,232.799
1051,4,223.437
1051,815,226.227
1051,839,222.464
1051,840,221.713
1051,832,223.726
1051,844,223.765
1051,846,225.876
1051,20,224.078
1051,842,222.572
1051,817,222.115
1051,852,222.51
1051,8,224.275
1051,841,220.534
1051,854,219.065
1051,847,225.818
1051,853,221.754
1051,849,218.275
1051,822,221.992
1047,830,198.046
1047,822,197.707
1047,1,197.144
1047,848,197.52
1047,846,196.092
1047,832,196.125
1047,817,198.109
1047,842,195.116
1047,839,194.32
1047,840,196.281
1047,826,194.679
1047,8,195.739
1047,844,196.2
1047,20,197.037
1047,847,193.504
1047,841,196.65
1047,849,195.073
1047,825,196.025
1047,850,196.588
1047,815,193.625
1046,815,224.599
1046,839,222.402
1046,840,222.255
1046,832,223.122
1046,817,223.85
1046,848,223.548
1046,826,223.764
1046,822,225.497
1046,847,230.214
1046,846,222.713
1046,842,222.908
1046,20,224.141
1046,841,224.212
1046,8,222.305
1046,825,221.76
1046,851,222.24
1046,850,220.892
1046,849,219.132
1046,830,
1046,844,
1045,1,209.803
1045,830,211.741
1045,848,207.967
1045,846,208.18
1045,832,208.575
1045,842,205.482
1045,817,209.887
1045,822,208.706
1045,839,206.49
1045,844,208.098
1045,826,206.957
1045,847,204.995
1045,20,207.575
1045,849,205.973
1045,8,208.213
1045,841,206.092
1045,825,204.567
1045,815,208.089
1045,840,
1045,154,
1044,1,193.302
1044,815,191.417
1044,20,192.819
1044,844,192.242
1044,832,194.592
1044,830,195.231
1044,848,193.915
1044,846,198.508
1044,840,192.319
1044,817,190.875
1044,839,190.254
1044,826,190.229
1044,842,192.966
1044,822,195.704
1044,8,192.663
1044,847,190.616
1044,825,190.363
1044,154,186.063
1044,849,185.678
1044,841,172.934
1043,1,234.121
1043,822,232.831
1043,817,227.878
1043,826,227.543
1043,844,226.067
1043,815,226.325
1043,832,226.226
1043,846,226.368
1043,8,226.313
1043,841,224.286
1043,849,224.499
1043,20,227.248
1043,840,225.528
1043,154,224.206
1043,848,231.991
1043,847,224.237
1043,830,227.628
1043,825,222.93
1043,839,221.998
1043,842,219.797
1042,1,212.708
1042,822,211.113
1042,830,209.767
1042,844,208.322
1042,842,207.952
1042,832,208.685
1042,815,207.306
1042,839,207.16
1042,817,207.04
1042,20,207.489
1042,8,206.652
1042,848,209.673
1042,846,211.073
1042,847,207.101
1042,841,204.544
1042,825,205.632
1042,154,205.118
1042,849,204.629
1042,826,208.216
1042,840,205.043
1041,1,210.253
1041,830,210.267
1041,817,206.876
1041,815,206.608
1041,832,205.625
1041,842,205.668
1041,844,204.303
1041,807,204.256
1041,154,202.407
1041,841,203.861
1041,20,204.99
1041,8,204.755
1041,825,204.881
1041,849,202.816
1041,826,200.975
1041,846,200.727
1041,848,200.723
1041,839,198.873
1041,822,201.697
1041,847,196.06
1040,822,216.972
1040,830,216.298
1040,1,214.66
1040,815,214.515
1040,817,215.074
1040,844,212.54
1040,839,212.191
1040,826,212.369
1040,842,216.523
1040,848,214.001
1040,841,211.021
1040,825,209.731
1040,20,211.398
1040,8,212.96
1040,846,216.198
1040,849,208.352
1040,154,211.343
1040,847,216.254
1040,832,
1040,840,
1039,1,239.518
1039,822,237.712
1039,848,235.909
1039,817,234.774
1039,815,234.175
1039,846,232.542
1039,826,231.8
1039,844,232.453
1039,8,232.64
1039,20,232.531
1039,847,231.269
1039,154,229.532
1039,840,230.077
1039,839,143.27
1039,849,143.736
1039,825,141.108
1039,841,141.111
1039,832,140.802
1039,830,
1039,842,
1038,842,248.162
1038,832,248.62
1038,840,248.576
1038,846,247.587
